Checking Euc20 1000000 random points, query radius = 1.8
diagonal_distance	lidim	count	piv idim	count
0.01	695.0335660497868	1024	77.44211922788566	200
0.02	675.314166223324	1202	76.89967848048146	200
0.03	655.3764514617699	1398	76.35976103902556	200
0.04	634.6879989435868	1639	75.82236837230708	200
0.05	616.0501472191742	1914	75.28750197873991	200
0.06	597.9605710797983	2221	74.75516338706012	200
0.07	580.3997545478412	2558	74.22535415704007	200
0.08	562.013717969463	2996	73.69807588022483	200
0.09	547.10664210082	3456	73.1733301806827	200
0.1	532.7300481121649	3986	72.65111871578004	200
0.11	518.4896079971813	4629	72.13144317697308	200
0.12	506.2995471161431	5368	71.61430529062314	200
0.13	495.25100383859694	6105	71.09970681883098	200
0.14	482.5686754491945	7009	70.58764956029486	200
0.15	470.5046985662355	7995	70.07813535119033	200
0.16	458.7502274997942	9098	69.57116606607302	200
0.17	446.69072335246284	10340	69.06674361880566	200
0.18	435.28854968385855	11723	68.56486996351036	200
0.19	424.05801567020546	13313	68.06554709554274	200
0.2	413.271531625637	15043	67.56877705249686	200
0.21	402.75899338617717	16973	67.07456191523166	200
0.22	392.74522238661433	19047	66.58290380892808	200
0.23	382.48637110547537	21426	66.09380490417144	200
0.24	372.64076083056636	23962	65.60726741806464	200
0.25	362.80211875054005	26669	65.12329361536905	200
0.26	352.8429617942532	29755	64.64188580967587	200
0.27	343.15299660167676	33094	64.1630463646087	200
0.28	333.81266100240805	36756	63.68677769505818	200
0.29	324.62954178616747	40790	63.21308226844661	200
0.3	315.76169646803453	45118	62.74196260602938	200
0.31	307.2100052850837	49735	62.27342128422765	200
0.32	298.674536418144	54900	61.80746093599702	200
0.33	290.4891898528424	60373	61.34408425223244	200
0.34	282.4536019948144	66299	60.88329398320826	200
0.35	274.6829222558771	72648	60.42509294005679	200
0.36	267.08271275222194	79497	59.96948399628584	200
0.37	259.7426463495446	86649	59.51647008933416	200
0.38	252.4382193862544	94517	59.06605422216699	200
0.39	245.43995537826652	102698	58.618239464914645	200
0.4	238.57400468956385	111291	58.17302895655041	200
0.41	231.8009100855663	120557	57.73042590661355	200
0.42	225.12386469045578	130550	57.290433596974474	200
0.43	218.76326429836612	140810	56.8530553836454	200
0.44	212.5032626739087	151722	56.418294698637084	200
0.45	206.43235563292203	163049	55.98615505186047	200
0.46	200.44580514719453	175117	55.55664003307765	200
