Checking Euc30 1000000 random points, query radius = 2.3
diagonal_distance	lidim	count	piv idim	count
0.01	1054.337273910737	472	110.12891897020097	200
0.02	1048.6335896805829	554	109.50065588210845	200
0.03	1035.4387126209604	665	108.87481266635632	200
0.04	1027.7665346121116	801	108.25139049306465	200
0.05	1023.0393295672578	964	107.6303905512988	200
0.06	1017.0002160955105	1138	107.01181404942636	200
0.07	1007.7635222823614	1345	106.39566221547864	200
0.08	994.1043110230663	1558	105.78193629752364	200
0.09	975.9594047761183	1814	105.1706375640427	200
0.1	955.7183654300894	2099	104.56176730431855	200
0.11	935.4154668079644	2495	103.95532682882795	200
0.12	919.7703557743026	2853	103.35131746964635	200
0.13	897.7054509330853	3306	102.74974058085682	200
0.14	875.6169212855517	3802	102.15059753897238	200
0.15	852.971535521597	4349	101.55388974336158	200
0.16	830.6918659163824	5010	100.95961861668893	200
0.17	809.7338066882135	5710	100.36778560535916	200
0.18	787.9473605895446	6543	99.77839217997365	200
0.19	768.0269250841393	7515	99.19143983579727	200
0.2	749.6008038459013	8547	98.60693009323234	200
0.21	730.939584095684	9671	98.02486449830405	200
0.22	711.8907425244935	10990	97.44524462315678	200
0.23	693.7399909415459	12431	96.86807206655892	200
0.24	675.6023114998075	14070	96.29334845441981	200
0.25	658.6902817491626	15885	95.72107544031749	200
0.26	642.1044484908807	17815	95.15125470603596	200
0.27	625.5556190153014	20026	94.5838879621161	200
0.28	609.6356320484335	22496	94.01897694841692	200
0.29	594.255072840663	25146	93.45652343468733	200
0.3	579.2127010838147	28129	92.89652922115265	200
0.31	564.6810523350456	31257	92.33899613911058	200
0.32	550.031414478004	34772	91.78392605154336	200
0.33	535.9307606624446	38650	91.2313208537376	200
0.34	522.1954691063124	42772	90.68118247392255	200
0.35	508.5973897184777	47201	90.13351287391794	200
0.36	495.13389077031877	52049	89.58831404979621	200
0.37	481.84824377595186	57290	89.04558803256079	200
0.38	468.95977066023505	62821	88.50533688883442	200
0.39	456.1561695269691	68848	87.96756272156682	200
0.4	443.59074103900053	75382	87.43226767075251	200
0.41	431.3869876654975	82386	86.89945391416587	200
0.42	419.49870969095883	89886	86.36912366811302	200
0.43	408.02149847273256	97771	85.84127918819486	200
0.44	396.687144206764	106382	85.31592277009045	200
0.45	385.73463431907413	115446	84.79305675035418	200
0.46	375.14281924904566	124924	84.2726835072299	200
0.47	364.66453704243435	135077	83.75480546148182	200
0.48	354.58023591970965	145683	83.23942507724308	200
0.49	344.71825057923195	156823	82.72654486288094	200
0.5	335.0382319083738	168566	82.21616737187951	200
0.51	325.5402143665239	180957	81.70829520374203	200
0.52	316.2863172337517	193976	81.20293100490991	200
0.53	307.3644624463566	207415	80.70007746970037	200
0.54	298.6501548301773	221289	80.19973734126488	200
0.55	290.1120821187157	235791	79.70191341256508	200
